Table S7. The PRI result of 1913 true external FCOCs using the optimal Mouse-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
1379517,2,3,3,3,Good,3.612653167,In,4115,0.242976417,0.654305017
1380471,2,3,3,3,Good,1.770205742,In,2391,0.379647517,0.613942424
1380529,2,3,3,3,Good,2.493526018,In,70897,0.365595747,0.65810603
1401084,2,3,3,3,Good,3.119784514,In,8573,0.48989779,0.581890629
1520997,2,3,3,3,Good,1.208930351,In,2391,0.212530083,0.771634747
1548030,2,3,3,3,Good,2.751813415,In,3066718,0.193442831,0.728226492
1619164,3,3,3,3,Good,2.684835875,In,41821,0.052597271,0.873230806
1623044,2,3,3,3,Good,2.106590124,In,18725,0.330178644,0.552063661
1634822,2,3,3,3,Good,3.079364692,In,15854,0.267574608,0.701388977
1641045,2,3,3,3,Good,2.838812816,In,202896,0.179293929,0.686010765
1648865,2,3,3,3,Good,2.926644192,In,6819,0.33336959,0.524832806
1714942,2,3,3,3,Good,2.694310589,In,6785,0.306704731,0.637803261
1719703,2,3,3,3,Good,2.916584,In,3066715,0.332599212,0.642586505
1738594,2,3,3,3,Good,2.886663987,In,3066715,0.355478268,0.621403336
1869367,3,3,3,3,Good,2.908334025,In,767036,0.168189846,0.503837357
1898724,3,3,3,3,Good,2.940274532,In,3047066,0.042627037,0.897676929
1899734,2,3,3,3,Good,3.581650964,In,4115,0.301300427,0.687254646
2024830,3,3,3,3,Good,2.863346593,In,3079009,0.159084977,0.67372875
2054598,2,3,3,3,Good,3.250521267,In,12442,0.272448822,0.630169507
2127702,2,3,3,3,Good,2.73648086,In,100191,0.381086029,0.646574664
2165757,3,3,3,3,Good,1.139062976,In,8554,0.315478636,0.594067981
2189771,2,3,3,3,Good,3.657984108,In,3066715,0.256458605,0.716311585
2195342,2,3,3,3,Good,2.660918284,In,3034829,0.355927124,0.653786369
2227627,2,3,3,3,Good,2.357156084,In,3034829,0.382467525,0.620483999
2232593,2,3,3,3,Good,2.686658618,In,3034829,0.353635942,0.657620868
