Table S5. Detailed RASTR descriptors of all compounds in Mouse and Rat q-RASTR models,,,,,,,,,,,,,,,,,,,,,
Mouse RASTR descriptors,,,,,,,,,,,,,,,,,,,,,
No.,CID,Status,pLD50,RA function(GK),SD Activity(GK),SE(GK),CVact(GK),CVsim(GK),MaxPos(GK),MaxNeg(GK),Abs MaxPos-MaxNeg,Avg.Sim(GK),SD similarity(GK),gm(GK)[Banerjee-Roy Coefficient],gm*Avg.Sim,gm*SD Similarity,Pos.Avg.Sim,Neg.Avg.Sim,sm1(GK)[Banerjee-Roy similarity coefficient 1],sm2(GK)[Banerjee-Roy similarity coefficient 2],gm_class(GK)
1,1017,Test,1.82,2.0073448021373608,0.1224105251905582,0.06076175249884712,0.06098131474982232,0.7576331099287701,0,0.782511316911598,0.782511316911598,0.39941994021479926,0.3026137714725018,-1,-0.39941994021479926,-0.3026137714725018,0,0.39941994021479926,-1,-1,0
2,2347,Train,1.87,1.9012208635361998,0.35992574301418323,0.16729526804719672,0.18931295669916792,0.5962501478953678,0.280121303648179,0.5258181321263309,0.24569682847815189,0.28966599774838675,0.1727133939977349,-0.6666666666666667,-0.1931106651655912,-0.1151422626651566,0.280121303648179,0.2915749365684283,-0.46726579679667984,-0.039540826363052485,0
3,2391,Train,1.31,2.1131202142642276,0.4893772034545456,0.29300256960324794,0.23158985473287094,1.1751592611471846,0.01582093413021499,0.04293918617506,0.02711825204484501,0.014031609147383372,0.01648937543834512,-0.33333333333333337,-0.004677203049127791,-0.005496458479448374,0.0087528314666078,0.01667099798777116,-0.6315502099710467,-0.5643092276868293,0
4,2787,Test,2.47,3.1158680836186132,0.7787571224744065,0.6653829182485969,0.24993263564932344,2.014000530232526,0.014810193317276968,0,0.014810193317276968,0.0029249636621084692,0.005890878366397329,1,0.0029249636621084692,0.005890878366397329,0.0029249636621084692,0,1,1,1
5,2898,Test,1.46,1.4159254684194253,0.5032101036561122,0.4259599512978736,0.3553930732087456,1.9897409156171728,0.007976441811282363,0.7662881192285751,0.7583116774172928,0.1519955321146738,0.3024317292395704,-0.33333333333333337,-0.050665177371557936,-0.10081057641319015,0.0074482336619925114,0.22426918134101442,-0.9895908058455712,-1.4264955335360796,0
6,3026,Train,1.9,2.868477112137835,0.7896820270555475,0.4980379354914205,0.27529661077442197,1.2899096668780075,2.6621935547407944e-31,1.0533714762089547e-31,1.6088220785318396e-31,7.918055277834377e-32,1.021357604575299e-31,0.6666666666666667,5.278703518556252e-32,6.80905069716866e-32,7.394923380983345e-32,1.0533714762089547e-31,0.6043219793943507,-0.3964093796986823,1
7,3259,Train,2.32,1.8200000118582746,0.6985185669682418,0.6985185583420064,0.38380140792143913,2.449489706483713,1.5897985741318588e-09,0.18492523686898207,0.1849252352791835,0.03082087319211411,0.07549541162892334,0,0,0,7.606248685629828e-10,0.061641745623603354,-0.99999999140302,-1.9999999506422246,0
8,4115,Train,2.83,2.9449212673090757,0.23165261801235412,0.11896931098071743,0.07866173557299441,0.8360700408403046,0.7376695102678423,0,0.7376695102678423,0.27798201374190656,0.23241243358206592,1,0.27798201374190656,0.23241243358206592,0.27798201374190656,0,1,1,1
9,5502,Train,2,1.9867978958470205,0.21378730422001582,0.10073319133017357,0.10760395139681435,0.6312721204850934,0.04983085920505737,0.3849917691416075,0.3351609099365501,0.1891324865581333,0.11939406584217123,-0.6666666666666667,-0.1260883243720889,-0.07959604389478082,0.04983085920505737,0.21699281202874848,-0.870566429728713,-0.8838352197749532,0
10,6623,Train,1.98,2.063560496137025,0.18598783750267825,0.0941956985274465,0.0901295783917392,0.8042537947601839,0.05097648327763454,0.5027631022169619,0.4517866189393273,0.23489412729110049,0.18891449324074924,-0.6666666666666667,-0.15659608486073368,-0.12594299549383284,0.05097648327763454,0.2716776560937937,-0.898607349956966,-0.9395772272443736,0
11,6626,Train,2.19,2.06101865348017,0.258350840915588,0.1188152061679037,0.12535104448440826,0.5681978649202601,0.5428951870888605,0.5766681631106794,0.033772976021818835,0.34262280055490585,0.19467754374829763,-0.6666666666666667,-0.22841520036993726,-0.12978502916553178,0.5428951870888605,0.3025683232481149,-0.05856570239570659,0.7014327810394302,0
12,6781,Train,1.56,1.9735036768539242,0.3498989449798585,0.16440244648032565,0.17729834967303054,0.6241088812654724,0.2870200890285174,0.45347456803172687,0.16645447900320948,0.22831254999140535,0.14249189015400324,-0.6666666666666667,-0.15220836666093693,-0.09499459343600217,0.2870200890285174,0.21657104218398296,-0.3670646398665595,0.30856405767964323,0
13,6782,Test,1.44,1.8278757298551225,0.40341444542118043,0.20772281094972403,0.22070124288654738,0.842000650628385,0.3531373581050634,0.9426770651177983,0.5895397070127348,0.36925070720308817,0.3109093357099915,-0.6666666666666667,-0.24616713813539215,-0.2072728904733277,0.3531373581050634,0.37247337702269306,-0.6253888302024884,-0.05236555689789058,0
