Table S8. The PRI result of 1909 true external FCOCs using the optimal Rat-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
1252604,2,3,1,3,Good,3.469269729,Outside AD,12,0.730094426,-0.094111957
1253102,2,3,3,3,Good,1.820739695,In,10,0.160944918,0.84012564
1257309,2,3,3,3,Good,2.974812098,In,1,0.199787339,0.759497592
1260649,2,3,3,3,Good,1.163563103,In,15,0.066258004,0.913569646
1271548,2,3,2,3,Good,3.596057516,In,37,0.499387383,0.472724308
1271817,2,3,3,3,Good,2.402389282,In,51,0.242647112,0.749301177
1279340,2,3,3,3,Good,2.263587829,In,12,0.105032603,0.802751332
1329508,2,3,3,3,Good,1.813654285,In,8,0.146590372,0.702984476
1379435,2,3,3,3,Good,1.915155298,In,19,0.171616778,0.795426776
1513129,2,3,3,3,Good,1.770239933,In,4,0.126796492,0.857847621
1729316,2,3,3,3,Good,1.011125719,In,24,0.034756421,0.959685242
1799067,2,3,3,3,Good,2.652925019,In,55,0.09680257,0.884223382
2195128,2,3,3,3,Good,1.654209411,In,8,0.138618898,0.786290314
2245406,2,3,1,3,Good,3.386277324,Outside AD,54,0.613949852,0.183978075
2268843,2,3,3,3,Good,1.948756554,In,8,0.239889098,0.567610906
2747938,2,3,3,3,Good,1.719462362,In,68,0.099709547,0.822257282
2747939,2,3,3,3,Good,1.33739444,In,17,0.118752333,0.826028831
2747940,2,3,3,3,Good,2.395696383,In,6,0.091259387,0.873651158
2747979,2,3,3,3,Good,3.185140081,In,12,0.3468476,0.489520407
2747997,2,3,2,3,Good,2.684610681,In,47,0.464843889,0.64760191
2750728,2,3,2,3,Good,2.67838835,In,12,0.293732406,0.500835727
2752593,2,3,3,3,Good,1.550010988,In,14,0.15604712,0.70630163
2752722,2,3,3,3,Good,1.783805783,In,8,0.178806307,0.654134772
2752723,3,3,3,3,Good,0.978929702,In,16,3.71e-05,0.99996027
2752910,2,3,3,3,Good,1.424570118,In,17,0.148927767,0.78241022
2774893,2,3,3,3,Good,1.389719317,In,14,0.096069175,0.837727858
2831634,2,3,3,3,Good,1.176783767,In,15,0.04208567,0.943174193
2833016,2,3,3,3,Good,1.151925457,In,15,0.031767466,0.958205862
2843627,2,3,3,3,Good,1.250939354,In,15,0.112366417,0.871379576
2847534,2,3,3,3,Good,1.292870038,In,17,0.012954856,0.979224595
3016098,2,3,3,3,Good,1.155877366,In,18,0.020590024,0.970213578
3017576,2,3,3,3,Good,1.467425386,In,68,0.058092554,0.930492069
3017990,3,3,3,3,Good,0.935447411,In,16,0.074700567,0.930501605
3020122,2,3,3,3,Good,1.423661878,In,14,0.089676398,0.855581319
3020636,2,3,3,3,Good,1.266495151,In,15,0.102119186,0.861063673
3020637,2,3,3,3,Good,1.228635595,In,17,0.061020203,0.91375666
3020638,2,3,3,3,Good,1.307665027,In,15,0.125064353,0.839218822
3020639,2,3,3,3,Good,1.324023417,In,68,0.134321034,0.807490473
3020644,2,3,3,3,Good,1.269204444,In,15,0.100421419,0.87295988
3020698,2,3,3,3,Good,1.052682482,In,22,0.014120793,0.98413967
3020699,2,3,3,3,Good,1.282073832,In,68,0.111602363,0.84894026
3020871,3,3,3,3,Good,0.829647665,In,62,0.019651157,0.976032246
3020985,2,3,3,3,Good,2.393777908,In,8,0.236582862,0.434379397
3020986,2,3,3,3,Good,1.890603623,In,4,0.10278733,0.88546921
3020987,2,3,1,3,Good,2.756762581,Outside AD,44,0.516955915,-0.325778199
3020989,2,3,3,3,Good,2.769341078,In,59,0.216269075,0.630320665
3020990,2,3,3,3,Good,1.947146348,In,61,0.216922001,0.754747799
3020991,2,3,3,3,Good,2.856428048,In,36,0.286428291,0.715287712
3020992,2,3,3,3,Good,2.692266574,In,31,0.330675548,0.632232786
3023588,2,3,3,3,Good,3.092520756,In,79,0.176155068,0.782490212
3030010,2,3,3,3,Good,1.201997754,In,15,0.088540538,0.889605539
3086393,2,3,3,3,Good,1.488626988,In,15,0.134683732,0.809909947
3089804,2,3,1,3,Good,2.872822189,Outside AD,8,0.550241418,0.110112493
3092112,2,3,3,3,Good,2.073557151,In,31,0.233722951,0.661794791
3094940,2,3,3,3,Good,2.698973278,In,12,0.455874451,0.439316788
3098712,3,3,3,3,Good,3.144374125,In,51,0.357408469,0.651501266
3099151,2,3,1,3,Good,3.503198415,Outside AD,44,0.495233324,-0.60319239
3107739,2,3,3,3,Good,1.266498762,In,17,0.043731145,0.948457484
3112620,2,3,3,3,Good,2.195596038,In,3,0.264362204,0.713891615
3116637,2,3,3,3,Good,1.559177988,In,1,0.158960885,0.855223051
3337258,2,3,2,3,Good,2.798375385,In,12,0.380999298,0.363707493
3530081,2,3,3,3,Good,2.407693277,In,79,0.121233094,0.870343844
3553937,2,3,3,3,Good,2.787720488,In,12,0.273825497,0.595641938
3683994,2,3,1,3,Good,2.539573954,Outside AD,44,0.243862925,-3.133319363
3720367,2,3,2,3,Good,2.947977548,In,51,0.346937327,0.643005654
3736119,2,3,3,3,Good,2.637233666,In,80,0.184027316,0.8193092
3771287,2,3,3,3,Good,2.521893812,In,13,0.186879141,0.51392955
3775971,2,3,3,3,Good,1.987217065,In,4,0.08931651,0.904815056
3799477,2,3,3,3,Good,1.548156119,In,14,0.141381266,0.771743009
3897679,2,3,3,3,Good,2.090845377,In,4,0.137882265,0.833932316
3907486,2,3,2,3,Good,3.250641909,In,56,0.435739958,0.715713561
3991515,2,3,3,3,Good,1.754893399,In,4,0.172166459,0.81556909
4051405,2,3,1,3,Good,3.375072313,Outside AD,91,0.495292695,0.539291811
4096515,3,3,3,3,Good,1.802666695,In,57,0.073920755,0.90246988
4098537,3,3,3,3,Good,2.738589147,In,79,0.148668901,0.821380314
4111218,3,3,3,3,Good,1.165467495,In,30,0.209618431,0.80822378
4113772,3,3,3,3,Good,1.975605681,In,46,0.034804898,0.941264733
4144032,2,3,3,3,Good,2.620324985,In,58,0.228938357,0.781315079
4144932,2,3,1,3,Good,2.171590897,Outside AD,91,0.275294758,0.725211807
4149665,3,3,2,3,Good,2.93244498,In,47,0.427635343,0.699300105
4153473,3,3,3,3,Good,2.228003908,In,12,0.124726807,0.81342779
4158910,2,3,3,3,Good,2.085044065,In,19,0.229277154,0.757591458
