"Table S2.Detailed statistic information of the training, test and true external sets in the Rat-QSTR models  ",,,,,,,,,,,,,
Rat-QSTR Model,Compound Information,,,,Rat-QSTR Model-Descriptor Value,,,,,Predicted Activity by  Rat-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10,Predicted endpoint,Residual,HAT i/i (h*=0.3529),
,96,120162,True external,-,-0.169061618691961,0,0.997184215653683,2,15.0792410722127,2.4813,-,0.059,Good
,97,121756,True external,-,0.0892763410471506,2,0.99705186768757,0,41.3084844165797,4.1704,-,0.331,Moderate
,98,122038,True external,-,-0.24347036829944,6,0.996535782240715,2,10.4868561891685,3.0599,-,0.1452,Good
,99,123187,True external,-,-0.0464104828814054,0,0.993776537915332,0,0,2.244,-,0.27,Good
,100,123755,True external,-,-0.196206065843102,8,0.996867645071144,0,10.4868561891685,2.9961,-,0.2754,Good
,101,123822,True external,-,-0.286898767680765,10,0.996917955493304,2,10.4868561891685,3.407,-,0.414,Good
,102,123934,True external,-,-0.22362171856543,10,0.997282873513915,8,10.4868561891685,3.7139,-,0.5321,Good
,103,124284,True external,-,0.193534601913589,0,0.997283487829072,0,19.6716259552569,2.3739,-,0.0942,Good
,104,124805,True external,-,-0.686258533765542,6,0.995837218730064,2,10.4868561891685,3.5501,-,0.356,Good
,105,124814,True external,-,-0.00951640704973186,0,0.997991183709563,0,0,0.9824,-,0.0568,Good
,106,126022,True external,-,-0.183888945361106,0,0.996883446362781,1,28.7856320877649,3.4191,-,0.157,Good
,107,126118,True external,-,-0.119590658369233,9,0.994781832538412,0,0,2.9665,-,0.383,Good
,108,126164,True external,-,-0.120455444472915,6,0.997166907812219,4,30.8765508647589,4.3093,-,0.2732,Good
,109,126322,True external,-,-0.134205606468039,11,0.997825435715961,3,10.4868561891685,3.2258,-,0.5274,Good
,110,126346,True external,-,-0.239321573645839,4,0.996952864638721,4,10.4868561891685,2.8706,-,0.1052,Good
,111,126969,True external,-,0.000336371988375034,6,0.993958445591609,0,16.8580060906486,3.934,-,0.3268,Moderate
,112,127143,True external,-,-0.144461203092647,8,0.996253641105837,0,0,2.4424,-,0.2651,Good
,113,127173,True external,-,-0.292950137951215,2,0.993460568264988,0,0,2.7112,-,0.3135,Good
,114,127463,True external,-,-0.0230582244880647,8,0.996347771720885,0,47.0844079863613,5.4826,-,0.6967,Moderate
,115,128664,True external,-,-0.0608583316781788,0,0.993632338522831,0,3.18557495074005,2.5085,-,0.2841,Good
,116,128856,True external,-,-0.200256973631394,0,0.99747860231028,2,15.0792410722127,2.4149,-,0.0665,Good
,117,133747,True external,-,-0.258106340120562,0,0.996374690654826,0,5.24342809458423,1.9675,-,0.0685,Good
,118,136159,True external,-,-0.416595201372456,0,0.995619528834529,0,9.12101806522548,2.5505,-,0.1624,Good
,119,156626,True external,-,0.127577683228576,0,0.996717736355396,0,0,1.2681,-,0.0604,Good
,120,157231,True external,-,-0.0741047639695891,0,0.996329892182567,0,0,1.5119,-,0.0525,Good
,121,157469,True external,-,-0.164987666221488,2,0.996785893935301,0,0,1.6522,-,0.0434,Good
,122,169794,True external,-,0.00827642163331485,0,0.998266484039661,0,0,0.8901,-,0.0694,Good
,123,175037,True external,-,0.00720789217373096,0,0.998555403366384,0,0,0.8059,-,0.0851,Good
,124,175686,True external,-,-0.00343499376746437,0,0.998194939708852,0,0,0.9186,-,0.0655,Good
,125,187106,True external,-,0.158582328118923,0,0.995535640058718,0,4.5923848830442,1.9022,-,0.106,Good
,126,187107,True external,-,0.0204653224030222,0,0.99566796440587,0,0,1.6454,-,0.0853,Good
,127,187108,True external,-,0.17927685822338,0,0.995747215000106,0,0,1.5199,-,0.1088,Good
,128,187109,True external,-,0.157550007307604,2,0.996072683896099,0,0,1.654,-,0.0812,Good
,129,187110,True external,-,0.152425601830502,0,0.99589302187071,0,0,1.4944,-,0.094,Good
,130,221066,True external,-,0.00609483345325574,0,0.995767220730851,0,0,1.6255,-,0.0785,Good
,131,222220,True external,-,-0.176902594093023,0,0.996523649884579,0,0,1.5212,-,0.0569,Good
,132,223408,True external,-,-0.181553455925933,0,0.9961827869952,0,11.7711019965903,2.4108,-,0.0664,Good
,133,226522,True external,-,0.0430587156864938,0,0.997007345439469,0,0,1.2375,-,0.0444,Good
,134,226523,True external,-,-0.0329310411389316,0,0.997358817631011,0,0,1.1832,-,0.0412,Good
,135,226524,True external,-,0.0168248175729262,0,0.99772696111485,0,0,1.043,-,0.0499,Good
